component,layer_idx,layer_name,height,width,pha_topk,num_images,pha_sim_mean,pha_sim_std,pha_sim_min,pha_sim_max
RGB,0,base.levels.2.blocks.0,16,8,13,16522,0.1676674783229828,0.030225852504372597,0.09123561531305313,0.7002143263816833
RGB,1,base.levels.2.blocks.1,16,8,13,16522,0.17856770753860474,0.031118959188461304,0.08634006977081299,0.6780871748924255
RGB,2,base.levels.2.blocks.2,16,8,13,16522,0.20010735094547272,0.03555738925933838,0.09460361301898956,0.6639964580535889
RGB,3,base.levels.2.blocks.3,16,8,13,16522,0.220121368765831,0.04268389195203781,0.09631537646055222,0.6408970355987549
RGB,4,base.levels.2.blocks.4,16,8,13,16522,0.30107975006103516,0.05310366675257683,0.14721448719501495,0.628581166267395
RGB,5,base.levels.2.blocks.5,16,8,13,16522,0.3763885498046875,0.05616157129406929,0.19967757165431976,0.6325241923332214
RGB,6,base.levels.2.blocks.6,16,8,13,16522,0.432285875082016,0.05748958885669708,0.2539295256137848,0.6397058963775635
RGB,7,base.levels.2.blocks.7,16,8,13,16522,0.45058903098106384,0.05910724401473999,0.25885722041130066,0.6554248332977295
RGB,8,base.levels.3.blocks.0,16,8,13,16522,0.2734900712966919,0.06243607774376869,0.1120375320315361,0.48511242866516113
RGB,9,base.levels.3.blocks.1,16,8,13,16522,0.3713839054107666,0.06941228359937668,0.16502012312412262,0.5819194912910461
RGB,10,base.levels.3.blocks.2,16,8,13,16522,0.40471702814102173,0.07008423656225204,0.18612660467624664,0.6171342730522156
RGB,11,base.levels.3.blocks.3,16,8,13,16522,0.40908825397491455,0.06981706619262695,0.18742816150188446,0.6189230680465698
